iter,layer,h_in_rms,attn_rms,attn_ratio,attn_cos,h_mid_rms,mlp_rms,mlp_ratio,mlp_cos,h_out_rms,attn_gain_rms,mlp_gain_rms
24000,53,138.028,3.14332,0.0227731,0.12228,138.434,12.8347,0.0927133,0.154924,140.992,1.13243,1.04729
24000,54,140.992,2.86038,0.0202875,0.0725514,141.266,13.4337,0.0950951,0.156978,143.988,1.07409,1.05421
24000,55,143.988,5.8298,0.0404882,0.157814,145.025,15.2013,0.104819,0.18872,148.643,1.14348,1.05445
24000,56,148.643,5.07323,0.0341302,0.189651,149.692,16.7845,0.112127,0.228289,154.392,1.1251,1.05929
24000,57,154.392,4.47154,0.0289623,0.13885,155.081,19.7454,0.127323,0.277358,161.672,1.12825,1.06861
24000,58,161.672,5.32912,0.0329625,0.207644,162.859,23.3367,0.143294,0.345877,172.325,1.15738,1.07573
24000,59,172.325,4.1051,0.0238219,0.178237,173.103,29.6331,0.171188,0.379421,186.373,1.1102,1.08376
24000,60,186.373,2.90253,0.0155738,0.14507,186.812,34.3773,0.184021,0.35445,201.578,1.04636,1.09809
24000,61,201.578,3.04365,0.0150991,0.148343,202.065,44.8025,0.221723,0.360466,222.183,1.05755,1.11983
24000,62,222.183,2.43186,0.0109453,0.215981,222.741,40.5866,0.182215,0.450574,243.731,1.00631,1.11587
24000,63,243.731,1.57633,0.00646751,0.203123,243.913,24.943,0.102262,0.444927,255.985,0.973761,1.06313
34454,0,0.0335152,6.603,197.015,0.0110203,6.60344,2.7276,0.413058,0.664006,8.65826,0.308753,0.606951
34454,1,8.65826,0.702215,0.0811035,0.329854,8.91472,5.656,0.634456,0.286741,11.8471,0.571453,0.91029
34454,2,11.8471,0.762213,0.0643378,0.214496,12.0309,1.20962,0.100542,0.316597,12.4627,0.765631,0.924602
34454,3,12.4627,0.952834,0.0764548,0.0939903,12.59,1.58041,0.125529,0.292961,13.1418,0.870849,0.865001
34454,4,13.1418,1.02648,0.0781082,0.14578,13.3293,1.81988,0.136532,0.299633,13.9843,0.877563,0.826859
34454,5,13.9843,1.26914,0.0907548,0.0941438,14.1602,4.19504,0.296255,0.247621,15.7336,0.965683,0.734981
34454,6,15.7336,1.55047,0.0985453,0.0522089,15.8937,1.94118,0.122135,0.196813,16.391,1.03138,0.672093
34454,7,16.391,1.62941,0.0994089,0.13106,16.68,2.28858,0.137205,0.271028,17.4441,1.13757,0.647691
34454,8,17.4441,1.70526,0.0977557,0.11604,17.7205,2.63257,0.14856,0.295356,18.6673,1.09051,0.657257
34454,9,18.6673,1.49356,0.0800093,0.169027,18.9801,2.87372,0.151407,0.293887,20.017,1.00563,0.671209
34454,10,20.017,1.75487,0.0876691,0.174587,20.3979,3.00648,0.147392,0.278813,21.4317,1.03718,0.663836
34454,11,21.4317,1.79983,0.0839795,0.145002,21.7659,3.19369,0.146729,0.258974,22.8049,1.07254,0.66605
34454,12,22.8049,1.80547,0.0791704,0.2,23.232,3.3178,0.142812,0.21824,24.1755,1.01641,0.673574
34454,13,24.1755,1.53709,0.0635805,0.155816,24.4642,3.42879,0.140155,0.186658,25.3266,1.02857,0.67783
34454,14,25.3266,1.77522,0.0700932,0.150353,25.6548,3.61918,0.141072,0.130625,26.3718,0.980279,0.669095
34454,15,26.3718,2.12048,0.0804072,0.126798,26.7232,3.81008,0.142576,0.0867703,27.3186,1.10187,0.662498
34454,16,27.3186,2.52837,0.0925512,0.176817,27.876,4.13824,0.148452,0.0732002,28.481,1.06694,0.642257
34454,17,28.481,4.00137,0.140492,0.110228,29.1958,4.6522,0.159345,0.0799481,29.9295,1.23581,0.619271
34454,18,29.9295,2.87841,0.096173,0.115118,30.3943,4.93905,0.162499,0.097732,31.2671,1.16718,0.614261
34454,19,31.2671,4.50839,0.14419,0.179793,32.3844,5.51375,0.17026,0.126577,33.5326,1.26683,0.619172
34454,20,33.5326,3.50329,0.104474,0.171331,34.3073,6.18518,0.180288,0.131273,35.6503,1.13291,0.6302
34454,21,35.6503,3.86636,0.108452,0.104022,36.2567,6.71361,0.185169,0.12015,37.6583,1.10657,0.630319
34454,22,37.6583,4.85423,0.128902,0.127405,38.5792,6.88698,0.178515,0.123555,40.0174,1.35507,0.629351
34454,23,40.0174,5.50094,0.137464,0.1517,41.2128,7.70862,0.187044,0.167188,43.1754,1.33558,0.633534
34454,24,43.1754,6.4558,0.149525,0.240893,45.1664,8.71577,0.19297,0.198591,47.6677,1.28838,0.642974
34454,25,47.6677,4.43896,0.093123,0.202027,48.7571,9.44232,0.19366,0.213693,51.6055,1.20032,0.663035
