iter,tensor,layer,mean,rms,max,min
64000,linear_qkv,19,1.32182,1.32283,1.53906,0.65625
64000,linear_qkv,20,1.19932,1.2002,1.46094,0.625
64000,linear_qkv,21,1.20053,1.2013,1.57812,0.683594
64000,linear_qkv,22,1.44666,1.44755,1.63281,0.648438
64000,linear_qkv,23,1.44601,1.4468,1.75781,0.710938
64000,linear_qkv,24,1.41356,1.41436,1.75781,0.679688
64000,linear_qkv,25,1.33946,1.34047,1.52344,0.494141
64000,linear_qkv,26,1.28298,1.28408,1.61719,0.441406
64000,linear_qkv,27,1.53665,1.53804,1.97656,0.484375
64000,linear_qkv,28,1.40149,1.4033,1.77344,0.353516
64000,linear_qkv,29,1.43457,1.43612,1.80469,0.423828
64000,linear_qkv,30,1.61069,1.61243,1.89062,0.384766
64000,linear_qkv,31,1.25793,1.25934,1.52344,0.237305
64000,linear_qkv,32,1.393,1.39451,1.65625,0.310547
64000,linear_qkv,33,1.39393,1.39624,1.64844,0.245117
64000,linear_qkv,34,1.60343,1.60597,1.875,0.302734
64000,linear_qkv,35,1.47812,1.48,1.76562,0.265625
64000,linear_qkv,36,1.27214,1.27408,1.46094,0.223633
64000,linear_qkv,37,0.90206,0.90333,1.07031,0.138672
64000,linear_qkv,38,1.18507,1.18618,1.35156,0.263672
64000,linear_qkv,39,0.973983,0.975291,1.125,0.239258
64000,linear_qkv,40,1.08938,1.09101,1.30469,0.220703
64000,linear_qkv,41,1.02976,1.0314,1.22656,0.214844
64000,linear_qkv,42,0.93307,0.934797,1.13281,0.269531
64000,linear_qkv,43,0.97939,0.981091,1.16406,0.296875
64000,linear_qkv,44,1.05621,1.05813,1.25781,0.246094
64000,linear_qkv,45,1.1651,1.1669,1.375,0.291016
64000,linear_qkv,46,1.23876,1.24051,1.41406,0.34375
64000,linear_qkv,47,1.07048,1.07209,1.25,0.427734
64000,linear_qkv,48,1.37202,1.37401,1.57031,0.425781
64000,linear_qkv,49,1.30673,1.30874,1.51562,0.400391
64000,linear_qkv,50,1.2386,1.24038,1.4375,0.427734
64000,linear_qkv,51,1.39004,1.39294,1.58594,0.435547
64000,linear_qkv,52,1.33934,1.3414,1.5,0.503906
64000,linear_qkv,53,1.51659,1.52013,1.71875,0.332031
64000,linear_qkv,54,1.38591,1.38924,1.625,0.292969
64000,linear_qkv,55,1.46003,1.46276,1.69531,0.458984
64000,linear_qkv,56,1.50927,1.5126,1.71875,0.373047
64000,linear_qkv,57,1.40668,1.4105,1.64844,0.25
64000,linear_qkv,58,1.4618,1.46507,1.71875,0.373047
64000,linear_qkv,59,1.3081,1.31151,1.53125,0.25
64000,linear_qkv,60,1.16726,1.16973,1.38281,0.390625
64000,linear_qkv,61,1.12684,1.12905,1.36719,0.443359
64000,linear_qkv,62,1.02814,1.02895,1.1875,0.667969
64000,linear_qkv,63,0.976414,0.976988,1.15625,0.746094
64000,linear_fc1,0,0.494248,0.497723,0.722656,0.0187988
64000,linear_fc1,1,0.849961,0.852758,0.972656,0.0111694
64000,linear_fc1,2,0.895853,0.897501,1.125,0.00946045
