run,iteration,norm_family,tensor,layer,numel,gain_rms,gain_abs_max,baseline_iteration,gain_rms_ratio_to_baseline,finite_frac,zero_frac,sample_relative_delta_rms,sample_cosine,sample_sign_flip_frac
flagship,4000,pre_mlp_norm,decoder.layers.mlp.linear_fc1.layer_norm_weight,49,5120,1.04929881,1.0703125,4000,1,1,0,0,1,0
flagship,4000,pre_mlp_norm,decoder.layers.mlp.linear_fc1.layer_norm_weight,50,5120,1.04862907,1.078125,4000,1,1,0,0,1,0
flagship,4000,pre_mlp_norm,decoder.layers.mlp.linear_fc1.layer_norm_weight,51,5120,1.04818164,1.0703125,4000,1,1,0,0,1,0
flagship,4000,pre_mlp_norm,decoder.layers.mlp.linear_fc1.layer_norm_weight,52,5120,1.046866,1.0703125,4000,1,1,0,0,1,0
flagship,4000,pre_mlp_norm,decoder.layers.mlp.linear_fc1.layer_norm_weight,53,5120,1.04483311,1.0703125,4000,1,1,0,0,1,0
flagship,4000,pre_mlp_norm,decoder.layers.mlp.linear_fc1.layer_norm_weight,54,5120,1.04205571,1.0703125,4000,1,1,0,0,1,0
flagship,4000,pre_mlp_norm,decoder.layers.mlp.linear_fc1.layer_norm_weight,55,5120,1.03898861,1.0625,4000,1,1,0,0,1,0
flagship,4000,pre_mlp_norm,decoder.layers.mlp.linear_fc1.layer_norm_weight,56,5120,1.03562079,1.0625,4000,1,1,0,0,1,0
flagship,4000,pre_mlp_norm,decoder.layers.mlp.linear_fc1.layer_norm_weight,57,5120,1.03130543,1.0546875,4000,1,1,0,0,1,0
flagship,4000,pre_mlp_norm,decoder.layers.mlp.linear_fc1.layer_norm_weight,58,5120,1.02663449,1.0546875,4000,1,1,0,0,1,0
flagship,4000,pre_mlp_norm,decoder.layers.mlp.linear_fc1.layer_norm_weight,59,5120,1.02148721,1.046875,4000,1,1,0,0,1,0
