iter,run,tensor,layer,wmax,wrms
68000,cont4b,mlp.linear_fc2,45,1.32031,0.0433116
68000,cont4b,mlp.linear_fc2,46,1.28906,0.04335
68000,cont4b,mlp.linear_fc2,47,1.97656,0.0433884
68000,cont4b,mlp.linear_fc2,48,0.992188,0.0434794
68000,cont4b,mlp.linear_fc2,49,1.01562,0.0435516
68000,cont4b,mlp.linear_fc2,50,1.00781,0.0436613
68000,cont4b,mlp.linear_fc2,51,1.26562,0.0437913
68000,cont4b,mlp.linear_fc2,52,1.21875,0.043945
68000,cont4b,mlp.linear_fc2,53,1.57031,0.0441108
68000,cont4b,mlp.linear_fc2,54,1.46094,0.0443002
68000,cont4b,mlp.linear_fc2,55,1.15625,0.0445319
68000,cont4b,mlp.linear_fc2,56,1.27344,0.0447064
68000,cont4b,mlp.linear_fc2,57,1.32812,0.0446491
68000,cont4b,mlp.linear_fc2,58,2.0625,0.0442302
68000,cont4b,mlp.linear_fc2,59,1.45312,0.0435095
68000,cont4b,mlp.linear_fc2,60,1.50781,0.0425044
68000,cont4b,mlp.linear_fc2,61,2.59375,0.0401679
68000,cont4b,mlp.linear_fc2,62,2.20312,0.0363893
68000,cont4b,mlp.linear_fc2,63,1.84375,0.0276178
68000,cont4b,mlp.linear_fc1,0,0.871094,0.0363055
68000,cont4b,mlp.linear_fc1,1,1.04688,0.0427655
68000,cont4b,mlp.linear_fc1,2,1.09375,0.0440317
68000,cont4b,mlp.linear_fc1,3,1.28906,0.043406
68000,cont4b,mlp.linear_fc1,4,1.22656,0.0427473
68000,cont4b,mlp.linear_fc1,5,1.04688,0.0420839
68000,cont4b,mlp.linear_fc1,6,1.10156,0.0416559
68000,cont4b,mlp.linear_fc1,7,0.839844,0.0420272
68000,cont4b,mlp.linear_fc1,8,0.714844,0.0423093
68000,cont4b,mlp.linear_fc1,9,0.882812,0.0425414
68000,cont4b,mlp.linear_fc1,10,0.636719,0.0425732
68000,cont4b,mlp.linear_fc1,11,0.699219,0.0425717
68000,cont4b,mlp.linear_fc1,12,0.636719,0.0425615
68000,cont4b,mlp.linear_fc1,13,0.683594,0.0425896
68000,cont4b,mlp.linear_fc1,14,0.574219,0.0425099
68000,cont4b,mlp.linear_fc1,15,0.738281,0.042174
68000,cont4b,mlp.linear_fc1,16,0.609375,0.0417748
68000,cont4b,mlp.linear_fc1,17,0.550781,0.0413861
68000,cont4b,mlp.linear_fc1,18,0.746094,0.0413858
68000,cont4b,mlp.linear_fc1,19,0.832031,0.0413277
68000,cont4b,mlp.linear_fc1,20,0.675781,0.0412579
68000,cont4b,mlp.linear_fc1,21,0.6875,0.0411075
68000,cont4b,mlp.linear_fc1,22,0.558594,0.0410771
68000,cont4b,mlp.linear_fc1,23,0.539062,0.0409234
68000,cont4b,mlp.linear_fc1,24,1.00781,0.0410645
68000,cont4b,mlp.linear_fc1,25,0.492188,0.0412274
68000,cont4b,mlp.linear_fc1,26,0.546875,0.0412367
68000,cont4b,mlp.linear_fc1,27,0.601562,0.0413574
68000,cont4b,mlp.linear_fc1,28,0.582031,0.0413663
68000,cont4b,mlp.linear_fc1,29,0.621094,0.0413712
68000,cont4b,mlp.linear_fc1,30,0.539062,0.0413378
68000,cont4b,mlp.linear_fc1,31,0.429688,0.0413636
68000,cont4b,mlp.linear_fc1,32,0.632812,0.0414355
68000,cont4b,mlp.linear_fc1,33,0.5625,0.0415152
68000,cont4b,mlp.linear_fc1,34,0.394531,0.0415754
68000,cont4b,mlp.linear_fc1,35,0.484375,0.0416489
68000,cont4b,mlp.linear_fc1,36,0.609375,0.0417269
68000,cont4b,mlp.linear_fc1,37,0.59375,0.0417887
68000,cont4b,mlp.linear_fc1,38,0.498047,0.0418056
68000,cont4b,mlp.linear_fc1,39,0.566406,0.0418462
68000,cont4b,mlp.linear_fc1,40,0.5625,0.0418628
68000,cont4b,mlp.linear_fc1,41,0.695312,0.0418664
68000,cont4b,mlp.linear_fc1,42,0.574219,0.0418663
68000,cont4b,mlp.linear_fc1,43,0.6875,0.0418674
68000,cont4b,mlp.linear_fc1,44,0.585938,0.0418619
68000,cont4b,mlp.linear_fc1,45,0.566406,0.0418458
68000,cont4b,mlp.linear_fc1,46,0.636719,0.0418371
68000,cont4b,mlp.linear_fc1,47,0.746094,0.041827
68000,cont4b,mlp.linear_fc1,48,0.878906,0.0418278
68000,cont4b,mlp.linear_fc1,49,0.550781,0.0418196
68000,cont4b,mlp.linear_fc1,50,0.785156,0.0418485
68000,cont4b,mlp.linear_fc1,51,0.480469,0.0418852
68000,cont4b,mlp.linear_fc1,52,0.882812,0.0419565
68000,cont4b,mlp.linear_fc1,53,0.785156,0.0420474
68000,cont4b,mlp.linear_fc1,54,0.90625,0.0421719
